id,name,country,url,verdict,http,final_domain,title,note
10453,Chandigarh University,India,INVALID-NOT-A-URL,invalid,,,,cell is not a URL
10508,Kazakh National Agrarian University,Kazakhstan,INVALID-NOT-A-URL,invalid,,,,cell is not a URL
10509,Universidad de Alcalá,Spain,INVALID-NOT-A-URL,invalid,,,,cell is not a URL
10391,Università  Cattolica del Sacro Cuore,Italy,INVALID-NOT-A-URL,invalid,,,,cell is not a URL
3033,Alexandria University,Egypt,https://eng.alexu.edu.eg/index.php/en/,unreachable,,,,URLError
10515,Asia University Taiwan,Taiwan,https://web.asia.edu.tw/,unreachable,,,,URLError
10427,China Medical University,Taiwan,https://www.cmu.edu.cn/e/,unreachable,,,,URLError
10422,Iran University of Science and Technology,Iran (Islamic Republic of),https://www.iust.ac.ir/en,unreachable,,,,URLError
10567,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",Ukraine,https://kpi.ua/en,unreachable,,,,URLError
10366,RUDN University,Russia,https://www.rudn.ru/en,unreachable,404,rudn.ru,,HTTP 404
10533,Shahid Beheshti University (SBU),Iran (Islamic Republic of),https://en.sbu.ac.ir/,unreachable,,,,URLError
3851,The Education University of Hong Kong,Hong Kong,https://www.eduhk.hk/en/,unreachable,,,,URLError
10514,Universidad Panamericana (UP),Mexico,https://www.up.edu.mx/,unreachable,,,,URLError
10384,Universitat Politècnica de Catalunya,Spain,https://www.upc.edu/en,unreachable,,,,URLError
9928,University of Barcelona,Spain,https://web.ub.edu/en/,unreachable,504,ub.edu,,HTTP 504
10499,University of Brawijaya,Indonesia,https://www.ub.ac.id/en/,unreachable,,,,DNS does not resolve
10456,University of Tabriz,Iran (Islamic Republic of),https://tabrizu.ac.ir/en,unreachable,,,,URLError
10460,American University of Ras Al Khaimah ( AURAK ),United Arab Emirates,https://aurak.ac.ae/,review,403,aurak.ac.ae,403 - Forbidden,page does not mention the university name
10424,Central Queensland University Australia (CQUniversity),Australia,https://www.cqu.edu.au/,review,403,cqu.edu.au,Just a moment...,page does not mention the university name
10280,Humboldt-Universität zu Berlin,Germany,https://www.hu-berlin.de/en,review,200,hu-berlin.de,Making sure you&#39;re not a bot!,page does not mention the university name
10564,IIT Gandhinagar,India,https://iitgn.ac.in/,review,403,iitgn.ac.in,Just a moment...,page does not mention the university name
10404,James Cook University,Australia,https://www.jcu.edu.au/,review,403,jcu.edu.au,Just a moment...,page does not mention the university name
545,Johns Hopkins University,United States,https://www.jhu.edu/,review,403,jhu.edu,Attention Required! | Cloudflare,page does not mention the university name
10493,"Kingston University, London",United Kingdom,https://www.kingston.ac.uk/,review,403,kingston.ac.uk,Just a moment...,page does not mention the university name
10486,MGIMO University,Russia,https://english.mgimo.ru/,review,200,mgimo.ru,,page does not mention the university name
10371,National University of Sciences And Technology (NUST) Islamabad,Pakistan,https://nust.edu.pk/,review,403,nust.edu.pk,Just a moment...,page does not mention the university name
10545,Rovira i Virgili University,Spain,https://www.urv.cat/en/,review,200,urv.cat,Universitat Rovira i Virgili | The public university of Tarragona,"page names: rovira, virgili | country mismatch: Spain but .cat"
10351,Rutgers University  New Brunswick,United States,https://newbrunswick.rutgers.edu/,review,403,rutgers.edu,Just a moment...,page does not mention the university name
10367,Sciences Po Paris,France,https://www.sciencespo.fr/en/,review,200,sciencespo.fr,,page does not mention the university name
10235,Technical University of Munich,Germany,https://www.tum.de/,review,200,tum.de,The Entrepreneurial University - TUM,page does not mention the university name
10232,The University of Melbourne,Australia,https://www.unimelb.edu.au/,review,403,unimelb.edu.au,Just a moment...,page does not mention the university name
10228,UCL (University College London),United Kingdom,https://www.ucl.ac.uk/,review,403,ucl.ac.uk,Just a moment...,page does not mention the university name
10319,University of Lisbon,Portugal,https://www.ulisboa.pt/en,review,403,ulisboa.pt,,page does not mention the university name
10377,University of Luxembourg,Luxembourg,https://www.uni.lu/en/,review,202,uni.lu,,page does not mention the university name
10548,University of Maynooth,Ireland,https://www.maynoothuniversity.ie/,review,403,maynoothuniversity.ie,Attention Required! | Cloudflare,page does not mention the university name
10439,University of Milano-Bicocca,Italy,https://en.unimib.it/node/2587,review,403,unimib.it,Just a moment...,page does not mention the university name
10399,Università  degli Studi di Pavia,Italy,https://portale.unipv.it/it,review,403,unipv.it,Just a moment...,page does not mention the university name
10454,Universität Jena,Germany,https://www.uni-jena.de/en,review,200,uni-jena.de,,page does not mention the university name
7904,Victoria University,Switzerland,https://www.vu.edu.au/,review,200,vu.edu.au,VU Homepage | Victoria University,page names: victoria | country mismatch: Switzerland but .au
10234,École Polytechnique Fédérale de Lausanne,Switzerland,https://www.epfl.ch/en/,review,200,epfl.ch,EPFL,page does not mention the university name
10559,AGH University of Krakow,Poland,https://www.agh.edu.pl/en/,ok,200,agh.edu.pl,Main Site,"page names: agh, krakow"
10531,Adam Mickiewicz University,Poland,https://amu.edu.pl/en,ok,200,amu.edu.pl,"Adam Mickiewicz University, Poznań, Poland","page names: adam, mickiewicz"
10560,Ahlia University,Bahrain,https://www.ahlia.edu.bh/,ok,200,ahlia.edu.bh,Ahlia University - Bahrain - Ahlia University,page names: ahlia
10401,Aix-Marseille University,France,https://www.univ-amu.fr/en,ok,200,univ-amu.fr,Accueil | Aix Marseille Université - amU,"page names: aix, marseille"
10445,Al Ain University,United Arab Emirates,https://www.aau.ac.ae/en/,ok,200,aau.ac.ae,Al Ain University(AAU) - One of the Best Universities in UAE,page names: ain
10284,Alma Mater Studiorum - University of Bologna,Italy,https://www.unibo.it/en,ok,200,unibo.it,University of Bologna,page names: bologna
1840,American University,Bosnia and Herzegovina,https://anuhs.edu.ba/,ok,200,anuhs.edu.ba,Home - American Northwest University of Health Science and Technology/Američki Sjevero-zapad Univerzitet za Zd,page names: american
10507,Ankara Üniversitesi,Türkiye,https://www.ankara.edu.tr/,ok,200,ankara.edu.tr,Ankara Üniversitesi,"page names: ankara, universitesi"
10554,Applied Science Private University - Jordan,Jordan,http://www.asu.edu.jo/en/Pages/default.aspx,ok,200,asu.edu.jo,Applied Science Private University - Home Page,"page names: applied, jordan, private"
10471,Applied Science University - Bahrain,Bahrain,https://www.asu.edu.bh/,ok,200,asu.edu.bh,Applied Science University &#8211; Education WordPress Theme,page names: applied
10462,Asia Pacific University of Technology and Innovation (APU) Malaysia,Malaysia,https://www.apu.edu.my/,ok,200,apu.edu.my,Asia Pacific University (APU) | Top 2% Universities Worldwide,"page names: apu, asia, innovation, malaysia"
10525,Auezov South Kazakhstan State University (SKSU),Kazakhstan,https://auezov.edu.kz/eng,ok,200,auezov.edu.kz,Home,"page names: auezov, kazakhstan, sksu, south"
10536,Babes-Bolyai University,Romania,https://www.ubbcluj.ro/en/,ok,200,ubbcluj.ro,"BBU, Babeș-Bolyai University","page names: babes, bolyai"
10330,Bandung Institute of Technology (ITB),Indonesia,https://itb.ac.id/,ok,200,itb.ac.id,Institut Teknologi Bandung,"page names: bandung, itb"
10447,Bangor University,United Kingdom,https://www.bangor.ac.uk/,ok,200,bangor.ac.uk,Bangor University,page names: bangor
10381,Beihang University (former BUAA),China,https://ev.buaa.edu.cn/,ok,200,buaa.edu.cn,Beihang University,page names: beihang
10370,Bogazici University,Türkiye,https://bogazici.edu.tr/en,ok,200,bogazici.edu.tr,Boğaziçi University,page names: bogazici
10378,Brunel University of London,United Kingdom,https://www.brunel.ac.uk/,ok,200,brunel.ac.uk,Brunel University of London,"page names: brunel, london"
10494,COMSATS University Islamabad,Pakistan,https://islamabad.comsats.edu.pk/,ok,200,comsats.edu.pk,COMSATS University Islamabad,"page names: comsats, islamabad"
10492,Ca' Foscari University of Venice,Italy,https://www.unive.it/web/en/497/home,ok,200,unive.it,Home: Ca' Foscari University of Venice,"page names: foscari, venice"
10465,Canadian University of Dubai,United Arab Emirates,https://www.cud.ac.ae/,ok,200,cud.ac.ae,Canadian University Dubai | Your portal to Canadian education,"page names: canadian, dubai"
10333,Charles University,Czechia,https://cuni.cz/uken-1.html,ok,200,cuni.cz,Charles University,page names: charles
10489,China University of Mining and Technology,China,https://global.cumt.edu.cn/,ok,200,cumt.edu.cn,CUMTGLOBAL,"page names: china, mining"
10502,China University of Petroleum,China,https://www.cup.edu.cn/english/,ok,200,cup.edu.cn,China University of Petroleum-Beijing,"page names: china, petroleum"
10474,Christian-Albrechts-Universität zu Kiel,Germany,https://www.uni-kiel.de/de/,ok,200,uni-kiel.de,Christian-Albrechts-Universität zu Kiel (CAU),"page names: albrechts, christian, kiel"
10394,Czech Technical University In Prague,Czechia,https://www.cvut.cz/en,ok,200,cvut.cz,Home - Public web - Czech technical university in Prague,"page names: czech, prague"
10537,Czech University of Life Sciences in Prague,Czechia,https://www.czu.cz/en,ok,200,czu.cz,Czech University of Life Sciences Prague,"page names: czech, life, prague"
10561,De Montfort University,United Kingdom,https://www.dmu.ac.uk/home.aspx,ok,200,dmu.ac.uk,De Montfort University,page names: montfort
10477,Diponegoro University,Indonesia,https://undip.ac.id/language/en/home,ok,200,undip.ac.id,Home - Universitas Diponegoro,page names: diponegoro
10562,Donghua University,China,https://english.dhu.edu.cn/,ok,200,dhu.edu.cn,Donghua University English Website,page names: donghua
10226,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,https://ethz.ch/en.html,ok,200,ethz.ch,ETH Zurich - Homepage | ETH Zurich,"page names: eth, zurich"
10380,Flinders University,Australia,https://www.flinders.edu.au/,ok,200,flinders.edu.au,"Flinders University - Adelaide, South Australia - Flinders University",page names: flinders
10290,Ghent University,Belgium,https://www.ugent.be/en,ok,200,ugent.be,Ghent University,page names: ghent
10349,Goethe Universität Frankfurt am Main,Germany,https://www.uni-frankfurt.de/en,ok,200,uni-frankfurt.de,"Goethe University Frankfurt – Research, Study, Transfer","page names: frankfurt, goethe, main"
10498,HUFS - Hankuk (Korea) University of Foreign Studies,South Korea,https://international.hufs.ac.kr/international/index.do,ok,200,hufs.ac.kr,☰ 국제입학관리팀 ☰,"page names: foreign, hankuk, hufs, korea"
10429,INTI International University,Malaysia,https://newinti.edu.my/,ok,200,newinti.edu.my,INTI International University &amp; Colleges &#8211; Your Future Built Today,"page names: international, inti"
10387,IPB University (aka Bogor Agricultural University),Indonesia,https://www.ipb.ac.id/en/,ok,200,ipb.ac.id,IPB University - Indonesia&#039;s #1 Agriculture University,"page names: agricultural, ipb"
10315,Indian Institute of Science (IISc) Bangalore,India,https://www.iisc.ac.in/,ok,200,iisc.ac.in,Indian Institute of Science,"page names: iisc, indian"
10448,Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),India,https://iitbhu.ac.in/,ok,200,iitbhu.ac.in,| Indian Institute of Technology (BHU) Varanasi,"page names: bhu, iit, indian, varanasi"
10241,Institut Polytechnique de Paris,France,https://www.ip-paris.fr/,ok,200,ip-paris.fr,Institut Polytechnique de Paris,"page names: institut, paris, polytechnique"
10472,International Islamic University Malaysia (IIUM),Malaysia,https://www.iium.edu.my/,ok,200,iium.edu.my,International Islamic University Malaysia &#8211; Garden of Knowledge and Virtue,"page names: iium, international, islamic, malaysia"
10345,Jagiellonian University,Poland,https://en.uj.edu.pl/,ok,200,uj.edu.pl,Jagiellonian University - Uniwersytet Jagiello&#324;ski,page names: jagiellonian
10539,"Jamia Millia Islamia, New Delhi",India,https://jmi.ac.in/,ok,200,jmi.ac.in,Official Website of Jamia Millia Islamia - Jamia Millia Islamia,"page names: islamia, jamia, millia"
10512,Jeonbuk National University (formerly known as Chonbuk National University),South Korea,https://www.jbnu.ac.kr/en/index.do,ok,200,jbnu.ac.kr,Jeonbuk National University,"page names: jeonbuk, known"
10395,Julius-Maximilians-Universität Würzburg,Germany,https://www.uni-wuerzburg.de/en/,ok,200,uni-wuerzburg.de,University of Würzburg -,page names: wurzburg
10541,Kaohsiung Medical University,Taiwan,https://www.kmu.edu.tw/index.php/en-gb/,ok,200,kmu.edu.tw,Kaohsiung Medical University | 高雄醫學大學 - Home,"page names: kaohsiung, medical"
10496,Karl-Franzens-Universität Graz,Austria,https://www.uni-graz.at/en/,ok,200,uni-graz.at,University of Graz,page names: graz
10263,Karlsruhe Institute of Technology (KIT),Germany,https://www.kit.edu/english/,ok,200,kit.edu,KIT - Karlsruhe Institute of Technology,"page names: karlsruhe, kit"
10479,Kazakh National Pedagogical University Abai,Kazakhstan,https://abai.university/en,ok,200,abai.university,Abai Kazakh National pedagogical university | Abai University,"page names: abai, kazakh, pedagogical"
9923,Keio University,Japan,https://www.keio.ac.jp/en/,ok,200,keio.ac.jp,Keio University,page names: keio
10295,Khalifa University of Science and Technology,United Arab Emirates,https://www.ku.ac.ae/,ok,200,ku.ac.ae,"Top Ranked, Research-Intensive University in UAE - Khalifa University",page names: khalifa
10540,Khoja Akhmet Yassawi International Kazakh-Turkish University,Kazakhstan,https://ayu.edu.kz/en/,ok,200,ayu.edu.kz,Ahmet Yasawi University | AYU,"page names: akhmet, international, yassawi"
10291,King Abdul Aziz University (KAU),Saudi Arabia,https://kau.edu.sa/en,ok,200,kau.edu.sa,Home,"page names: kau, king"
10252,King Fahd University of Petroleum & Minerals,Saudi Arabia,https://www.kfupm.edu.sa/,ok,200,kfupm.edu.sa,KFUPM,page names: petroleum
10436,King Khalid University,Saudi Arabia,https://www.kku.edu.sa/en,ok,200,kku.edu.sa,King Khalid University,"page names: khalid, king"
10238,King's College London (KCL),United Kingdom,https://www.kcl.ac.uk/study/international,ok,200,kcl.ac.uk,International | King&#x27;s College London,"page names: king, london"
10350,Koc University,Türkiye,https://www.ku.edu.tr/en/,ok,200,ku.edu.tr,Koç University,page names: koc
5670,Kyungpook National University,South Korea,https://en.knu.ac.kr/main/main.htm,ok,200,knu.ac.kr,Kyungpook National University,page names: kyungpook
10385,Lappeenranta-Lahti University of Technology LUT,Finland,https://www.lut.fi/en,ok,200,lut.fi,LUT University | LUT University,page names: lut
10403,Leibniz Universität Hannover,Germany,https://www.uni-hannover.de/en/,ok,200,uni-hannover.de,Homepage&nbsp;&ndash;&nbsp;Leibniz University Hannover,"page names: hannover, leibniz"
10483,Libera Universita' di Bolzano,Italy,https://www.unibz.it/,ok,200,unibz.it,Free University of Bozen-Bolzano,page names: bolzano
10481,"Lincoln University College, Malaysia",Malaysia,https://www.lincoln.edu.my/,ok,200,lincoln.edu.my,Top Private University Degree College In Malaysia &#8211; Study In Malaysia For International Students,"page names: lincoln, malaysia"
10513,"Lingnan University, Hong Kong",Hong Kong,https://www.ln.edu.hk/,ok,200,ln.edu.hk,Lingnan University – A research-focused liberal arts university in Hong Kong,"page names: hong, kong, lingnan"
10247,London School of Economics and Political Science (LSE),United Kingdom,https://www.lse.ac.uk/,ok,200,lse.ac.uk,The London School of Economics and Political Science - LSE,"page names: economics, london, lse, political"
10463,Management and Science University - MSU Malaysia,Malaysia,https://www.msu.edu.my/,ok,200,msu.edu.my,MSU Malaysia | Top 88 in the world | 100% Employability,"page names: malaysia, management, msu"
10566,Middlesex University,United Kingdom,https://www.mdx.ac.uk/,ok,200,mdx.ac.uk,Home | Your North London University | Middlesex University,page names: middlesex
2522,Nankai University,China,https://en.nankai.edu.cn/,ok,200,nankai.edu.cn,Nankai University,page names: nankai
10230,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,https://www.ntu.edu.sg/,ok,200,ntu.edu.sg,Nanyang Technological University - NTU Singapore,"page names: nanyang, ntu, singapore, technological"
10308,National Cheng Kung University (NCKU),Taiwan,https://web.ncku.edu.tw/index.php?Lang=en,ok,200,ncku.edu.tw,"NCKU, National Cheng Kung University - NCKU, 國立成功大學 National Cheng Kung University","page names: cheng, kung, ncku"
10480,National Chung Hsing University,Taiwan,https://www.nchu.edu.tw/en-index,ok,200,nchu.edu.tw,國立中興大學 - 國立中興大學(National Chung Hsing University),"page names: chung, hsing"
10527,National Institute of Technology Tiruchirappalli,India,https://www.nitt.edu/home/,ok,200,nitt.edu,NIT Trichy,page names: tiruchirappalli
10461,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,https://eng.mephi.ru/,ok,200,mephi.ru,Welcome to National Research Nuclear University MEPhI | National Research Nuclear University MEPhI,"page names: engineering, mephi, moscow, nuclear"
10405,"National Research University Higher School of Economics (HSE, Moscow)",Russia,https://www.hse.ru/en/,ok,200,hse.ru,HSE University,"page names: hse, moscow, research"
10249,National Taiwan University (NTU),Taiwan,https://www.ntu.edu.tw/english/,ok,200,ntu.edu.tw,National Taiwan University,"page names: ntu, taiwan"
10357,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,https://www.ntust.edu.tw/?Lang=en,ok,200,ntust.edu.tw,National Taiwan University of Science and Technology - National Taiwan University of Science and Technology,"page names: taiwan, tech"
10294,National Tsing Hua University,Taiwan,https://nthu-en.site.nthu.edu.tw/,ok,200,nthu.edu.tw,National Tsing Hua University,"page names: hua, tsing"
10522,National University of Science and Technology MISiS,Russia,https://en.misis.ru/,ok,200,misis.ru,Study in Russia at National University of Science and Technology MISIS,page names: misis
10382,National and Kapodistrian University of Athens,Greece,https://en.uoa.gr/,ok,200,uoa.gr,ENGLISH | National and Kapodistrian University of Athens,"page names: athens, kapodistrian"
10441,Northumbria University at Newcastle,United Kingdom,https://www.northumbria.ac.uk/,ok,200,northumbria.ac.uk,Northumbria University | Uni Courses | Study in the Best Student City,"page names: newcastle, northumbria"
10568,Northwest Agriculture and Forestry University,China,https://en.nwsuaf.edu.cn/,ok,200,nwsuaf.edu.cn,Welcome to Northwest A&F University Home,"page names: agriculture, northwest"
10425,Northwestern Polytechnical University,China,https://en.nwpu.edu.cn/,ok,200,nwpu.edu.cn,Northwestern Polytechnical University,"page names: northwestern, polytechnical"
10237,PSL University,France,https://psl.eu/en,ok,200,psl.eu,PSL University | PSL,page names: psl
10497,Palacký University in Olomouc,Czechia,https://www.upol.cz/en/,ok,200,upol.cz,Palacký University Olomouc,"page names: olomouc, palacky"
10487,Paris Lodron University of Salzburg,Austria,https://www.plus.ac.at/?lang=en,ok,200,plus.ac.at,Home - Paris Lodron University of Salzburg,"page names: lodron, paris, salzburg"
10468,Peter the Great St.Petersburg Polytechnic University,Russia,https://english.spbstu.ru/,ok,200,spbstu.ru,Peter the Great St.Petersburg Polytechnic University,"page names: great, peter, petersburg, polytechnic"
10544,Philipps-Universität Marburg,Germany,https://www.uni-marburg.de/en,ok,200,uni-marburg.de,Marburg University - Philipps-Universität Marburg,"page names: marburg, philipps"
10570,Politecnico di Bari,Italy,https://www.poliba.it/en/,ok,200,poliba.it,Homepage | Politecnico di Bari | we made wings,"page names: bari, politecnico"
10264,Politecnico di Milano,Italy,https://www.polimi.it/,ok,200,polimi.it,Politecnico di Milano - polimi,"page names: milano, politecnico"
10325,Politecnico di Torino,Italy,https://www.polito.it/,ok,200,polito.it,Politecnico di Torino,"page names: politecnico, torino"
10432,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA,Argentina,https://uca.edu.ar/,ok,200,uca.edu.ar,UCA - Universidad Católica Argentina,"page names: argentina, catolica, uca"
10557,Pontificia Universidad Católica de Valparaíso,Chile,https://www.pucv.cl/,ok,200,pucv.cl,Pontificia Universidad Católica de Valparaíso | Pontificia Universidad Católica de Valparaíso,"page names: catolica, pontificia, valparaiso"
10523,Prince Sattam Bin Abdulaziz University,Saudi Arabia,https://www.psau.edu.sa/en,ok,200,psau.edu.sa,Prince Sattam University | Leading Higher Education and Research in Saudi Arabia,"page names: prince, sattam"
10528,Princess Nourah bint Abdulrahman University,Saudi Arabia,https://pnu.edu.sa/en/pages/home.aspx,ok,200,pnu.edu.sa,Home Page,"page names: nourah, princess"
10302,"Queen's University, Ontario",Canada,https://www.queensu.ca/,ok,200,queensu.ca,Queen’s University Canada,"page names: ontario, queen"
10276,RMIT University,Australia,https://www.rmit.edu.au/,ok,200,rmit.edu.au,"RMIT University: A world leader in technology, design &amp; enterprise",page names: rmit
10337,Radboud University Nijmegen,Netherlands,https://www.ru.nl/en,ok,200,ru.nl,Radboud University,"page names: nijmegen, radboud"
10546,Rutgers University - Newark,United States,https://www.newark.rutgers.edu/,ok,200,rutgers.edu,Rutgers Newark | Rutgers University-Newark,"page names: newark, rutgers"
10430,SOAS University of London,United Kingdom,https://www.soas.ac.uk/,ok,200,soas.ac.uk,Welcome to SOAS | SOAS,"page names: london, soas"
10475,Saint Joseph University of Beirut (USJ),Lebanon,https://usj.edu.lb/en,ok,200,usj.edu.lb,Saint Joseph University - Beirut | Université Saint-Joseph de Beyrouth,"page names: beirut, joseph, saint, usj"
10372,Saint Petersburg State University,Russia,https://english.spbu.ru/,ok,200,spbu.ru,St. Petersburg State University,page names: petersburg
10278,Sapienza University of Rome,Italy,https://www.uniroma1.it/en/,ok,200,uniroma1.it,Home | Sapienza Università di Roma,"page names: rome, sapienza"
10352,Satbayev University (previously Kazakh Technical University named after K.I. Satpaev),Kazakhstan,https://satbayev.university/en,ok,200,satbayev.university,Kazakh National Research Technical University — Satbayev University,"page names: after, kazakh, named, satbayev"
10450,Savitribai Phule Pune University,India,https://www.unipune.ac.in/,ok,200,unipune.ac.in,"Savitribai Phule Pune University, One of the Premier Universities in India - Official Website.","page names: phule, pune, savitribai"
10426,Shoolini University of Biotechnology and Management Sciences,India,https://shooliniuniversity.com/,ok,200,shooliniuniversity.com,Shoolini University - Top Private University in India,"page names: biotechnology, management, shoolini"
10255,Sorbonne University (merged from Paris IV & UPMC),France,https://www.sorbonne-universite.fr/en,ok,200,sorbonne-universite.fr,Sorbonne Université| Sorbonne université,"page names: from, paris, sorbonne"
10383,"Southeast University, China",China,https://www.seu.edu.cn/english/,ok,200,seu.edu.cn,English,"page names: china, southeast"
